Counts: 	19779	19779	25	0	0	0	3	4779	903	1	4	0	0	12190	25	2	2	1	213	
Q7PK67	Q7PK67_ANOGA	Anopheles gambiae																		
A0A0E4C777	A0A0E4C777_ANOGA	Anopheles gambiae																		
B2G1V1	B2G1V1_ANOGA	Anopheles gambiae												7165.AGAP010481-PA;						
Q7QAN4	Q7QAN4_ANOGA	Anopheles gambiae						Q7QAN4;						7165.AGAP003608-PA;						
A0NCS8	A0NCS8_ANOGA	Anopheles gambiae																		
F5HM95	F5HM95_ANOGA	Anopheles gambiae																		
Q7QK91	Q7QK91_ANOGA	Anopheles gambiae						Q7QK91;						7165.AGAP002219-PA;						
A0NHD3	A0NHD3_ANOGA	Anopheles gambiae												7165.AGAP002113-PA;						
Q7Q0G0	Q7Q0G0_ANOGA	Anopheles gambiae						Q7Q0G0;						7165.AGAP010315-PA;						
Q7PNG6	Q7PNG6_ANOGA	Anopheles gambiae												7165.AGAP007841-PA;						
F2YBB7	F2YBB7_ANOGA	Anopheles gambiae																		
F5HIX4	F5HIX4_ANOGA	Anopheles gambiae						F5HIX4;						7165.AGAP003904-PB;						
F5HKJ6	F5HKJ6_ANOGA	Anopheles gambiae																		
Q7PP35	Q7PP35_ANOGA	Anopheles gambiae																		
F5HIY2	F5HIY2_ANOGA	Anopheles gambiae												7165.AGAP007237-PA;						
F5HMQ0	F5HMQ0_ANOGA	Anopheles gambiae												7165.AGAP001451-PC;						
A7UTL1	A7UTL1_ANOGA	Anopheles gambiae							A7UTL1;					7165.AGAP005322-PA;						
Q7PTK5	Q7PTK5_ANOGA	Anopheles gambiae												7165.AGAP002172-PA;						
Q7QJS1	Q7QJS1_ANOGA	Anopheles gambiae												7165.AGAP007632-PA;						
Q17033	Q17033_ANOGA	Anopheles gambiae						Q17033;	Q17033;					7165.AGAP002599-PA;						
F5HK62	F5HK62_ANOGA	Anopheles gambiae																		
B2G0Q3	B2G0Q3_ANOGA	Anopheles gambiae												7165.AGAP005065-PA;						
Q7PQR4	Q7PQR4_ANOGA	Anopheles gambiae						Q7PQR4;						7165.AGAP003106-PA;						
Q7PKM8	Q7PKM8_ANOGA	Anopheles gambiae												7165.AGAP001370-PA;						
F5HL66	F5HL66_ANOGA	Anopheles gambiae												7165.AGAP004246-PB;						
Q7Q4H3	Q7Q4H3_ANOGA	Anopheles gambiae						Q7Q4H3;						7165.AGAP008400-PA;						
Q5TUG1	Q5TUG1_ANOGA	Anopheles gambiae																		
Q5TPD3	Q5TPD3_ANOGA	Anopheles gambiae												7165.AGAP009592-PA;						
Q5TPC8	Q5TPC8_ANOGA	Anopheles gambiae																		
Q7PR98	Q7PR98_ANOGA	Anopheles gambiae												7165.AGAP002957-PA;					SUBUNIT: Homodimer. {ECO:0000256|RuleBase:RU361148}.	
Q7QET9	Q7QET9_ANOGA	Anopheles gambiae												7165.AGAP000144-PA;						
Q7Q504	Q7Q504_ANOGA	Anopheles gambiae												7165.AGAP004656-PA;						
C6JX66	C6JX66_ANOGA	Anopheles gambiae						C6JX66;						7165.AGAP003205-PA;						
F5HJW5	F5HJW5_ANOGA	Anopheles gambiae																		
Q7QI92	Q7QI92_ANOGA	Anopheles gambiae						Q7QI92;	Q7QI92;					7165.AGAP006733-PA;						
Q7Q564	Q7Q564_ANOGA	Anopheles gambiae						Q7Q564;						7165.AGAP006616-PA;						
Q7Q0A2	Q7Q0A2_ANOGA	Anopheles gambiae						Q7Q0A2;						7165.AGAP012348-PA;						
Q5TWW1	Q5TWW1_ANOGA	Anopheles gambiae																		
Q7QIT7	Q7QIT7_ANOGA	Anopheles gambiae						Q7QIT7;	Q7QIT7;					7165.AGAP007068-PA;						
Q7QEJ4	Q7QEJ4_ANOGA	Anopheles gambiae												7165.AGAP000016-PA;						
Q7Q549	Q7Q549_ANOGA	Anopheles gambiae												7165.AGAP006644-PA;						
Q7QFR1	Q7QFR1_ANOGA	Anopheles gambiae												7165.AGAP000626-PA;						
Q5TRJ2	Q5TRJ2_ANOGA	Anopheles gambiae																		
Q7PRZ5	Q7PRZ5_ANOGA	Anopheles gambiae												7165.AGAP000219-PA;						
D3KAH0	D3KAH0_ANOGA	Anopheles gambiae																		
Q7PV18	Q7PV18_ANOGA	Anopheles gambiae												7165.AGAP011631-PA;						
Q7Q9B7	Q7Q9B7_ANOGA	Anopheles gambiae												7165.AGAP003335-PA;						
Q7QFK4	Q7QFK4_ANOGA	Anopheles gambiae																		
Q7Q5R8	Q7Q5R8_ANOGA	Anopheles gambiae												7165.AGAP006243-PA;						
Q7QK12	Q7QK12_ANOGA	Anopheles gambiae						Q7QK12;						7165.AGAP011034-PA;						
Q7QH32	Q7QH32_ANOGA	Anopheles gambiae						Q7QH32;	Q7QH32;					7165.AGAP003490-PA;						
Q7PX22	Q7PX22_ANOGA	Anopheles gambiae						Q7PX22;												
F5HLX3	F5HLX3_ANOGA	Anopheles gambiae												7165.AGAP013401-PA;						
Q7QFB6	Q7QFB6_ANOGA	Anopheles gambiae						Q7QFB6;	Q7QFB6;					7165.AGAP000396-PA;						
F5HMU3	F5HMU3_ANOGA	Anopheles gambiae												7165.AGAP001283-PA;						
Q7Q623	Q7Q623_ANOGA	Anopheles gambiae						Q7Q623;						7165.AGAP006083-PA;						
Q7QIC0	Q7QIC0_ANOGA	Anopheles gambiae												7165.AGAP006772-PA;						
A0NCN0	A0NCN0_ANOGA	Anopheles gambiae																		
F5HKG4	F5HKG4_ANOGA	Anopheles gambiae																		
Q5TNN5	Q5TNN5_ANOGA	Anopheles gambiae						Q5TNN5;						7165.AGAP008962-PA;						
A0NGP7	A0NGP7_ANOGA	Anopheles gambiae																		
A0NED5	A0NED5_ANOGA	Anopheles gambiae						A0NED5;						7165.AGAP005481-PA;						
Q5TV29	Q5TV29_ANOGA	Anopheles gambiae						Q5TV29;						7165.AGAP000402-PA;						
Q7PF37	Q7PF37_ANOGA	Anopheles gambiae												7165.AGAP006876-PA;						
Q7PRY6	Q7PRY6_ANOGA	Anopheles gambiae												7165.AGAP000514-PA;						
Q5TP42	Q5TP42_ANOGA	Anopheles gambiae																		
F2X536	F2X536_ANOGA	Anopheles gambiae												7165.AGAP005195-PA;						
A0NEC2	A0NEC2_ANOGA	Anopheles gambiae						A0NEC2;						7165.AGAP005398-PA;						
A7UV01	A7UV01_ANOGA	Anopheles gambiae						A7UV01;						7165.AGAP003990-PA;						
A7URI7	A7URI7_ANOGA	Anopheles gambiae												7165.AGAP007257-PA;						
Q7PF58	Q7PF58_ANOGA	Anopheles gambiae						Q7PF58;						7165.AGAP006997-PA;						
Q7PNR7	Q7PNR7_ANOGA	Anopheles gambiae						Q7PNR7;												
Q7Q3N6	Q7Q3N6_ANOGA	Anopheles gambiae						Q7Q3N6;						7165.AGAP007963-PA;						
A7URD2	A7URD2_ANOGA	Anopheles gambiae						A7URD2;												
Q7QDY3	Q7QDY3_ANOGA	Anopheles gambiae																		
A0NF76	A0NF76_ANOGA	Anopheles gambiae																		
Q7QG06	Q7QG06_ANOGA	Anopheles gambiae																		
Q7PTG1	Q7PTG1_ANOGA	Anopheles gambiae						Q7PTG1;	Q7PTG1;					7165.AGAP007543-PA;						
Q7QG04	Q7QG04_ANOGA	Anopheles gambiae												7165.AGAP003750-PA;						
Q7Q6E7	Q7Q6E7_ANOGA	Anopheles gambiae						Q7Q6E7;	Q7Q6E7;					7165.AGAP005894-PA;						
Q7QII2	Q7QII2_ANOGA	Anopheles gambiae						Q7QII2;						7165.AGAP006884-PA;						
A0NF50	A0NF50_ANOGA	Anopheles gambiae																		
Q7PTN0	Q7PTN0_ANOGA	Anopheles gambiae							Q7PTN0;					7165.AGAP009442-PA;						
Q7PXL8	Q7PXL8_ANOGA	Anopheles gambiae												7165.AGAP001470-PA;						
Q7Q4W9	Q7Q4W9_ANOGA	Anopheles gambiae																		
Q7PVQ4	Q7PVQ4_ANOGA	Anopheles gambiae						Q7PVQ4;						7165.AGAP009212-PA;						
A0NFG5	A0NFG5_ANOGA	Anopheles gambiae												7165.AGAP004692-PA;						
Q7PXW5	Q7PXW5_ANOGA	Anopheles gambiae						Q7PXW5;						7165.AGAP001630-PA;						
Q7Q649	Q7Q649_ANOGA	Anopheles gambiae						Q7Q649;						7165.AGAP006041-PA;						
Q7Q350	Q7Q350_ANOGA	Anopheles gambiae						Q7Q350;						7165.AGAP011487-PA;						
Q7QBI1	Q7QBI1_ANOGA	Anopheles gambiae												7165.AGAP003165-PA;						
Q7QG96	Q7QG96_ANOGA	Anopheles gambiae						Q7QG96;						7165.AGAP010622-PA;						
Q7PUD0	Q7PUD0_ANOGA	Anopheles gambiae						Q7PUD0;						7165.AGAP001443-PA;						
Q7PXX6	Q7PXX6_ANOGA	Anopheles gambiae												7165.AGAP001644-PB;						
Q7PKC9	Q7PKC9_ANOGA	Anopheles gambiae																		
A7USF0	A7USF0_ANOGA	Anopheles gambiae												7165.AGAP000463-PA;						
Q7Q6W7	Q7Q6W7_ANOGA	Anopheles gambiae												7165.AGAP005633-PA;						
A7US70	A7US70_ANOGA	Anopheles gambiae							A7US70;					7165.AGAP010919-PA;						
A0NEH2	A0NEH2_ANOGA	Anopheles gambiae																		
I3RU35	I3RU35_ANOGA	Anopheles gambiae																		
A7UT73	A7UT73_ANOGA	Anopheles gambiae						A7UT73;						7165.AGAP005043-PA;						
F5HIZ8	F5HIZ8_ANOGA	Anopheles gambiae																		
Q7Q7D0	Q7Q7D0_ANOGA	Anopheles gambiae																		
Q7PPB0	Q7PPB0_ANOGA	Anopheles gambiae						Q7PPB0;												
Q7PML1	Q7PML1_ANOGA	Anopheles gambiae												7165.AGAP003939-PA;						
Q7Q7Q7	Q7Q7Q7_ANOGA	Anopheles gambiae												7165.AGAP004631-PA;						
A0NGZ4	A0NGZ4_ANOGA	Anopheles gambiae												7165.AGAP001685-PA;						
Q7QHU2	Q7QHU2_ANOGA	Anopheles gambiae						Q7QHU2;												
Q5TW22	Q5TW22_ANOGA	Anopheles gambiae												7165.AGAP011202-PA;						
Q7Q5E8	Q7Q5E8_ANOGA	Anopheles gambiae						Q7Q5E8;						7165.AGAP006477-PA;						
Q7PZ56	Q7PZ56_ANOGA	Anopheles gambiae												7165.AGAP011743-PA;						
Q7QBA5	Q7QBA5_ANOGA	Anopheles gambiae																		
Q7PUQ9	Q7PUQ9_ANOGA	Anopheles gambiae												7165.AGAP001820-PA;						
Q7Q3W6	Q7Q3W6_ANOGA	Anopheles gambiae												7165.AGAP008074-PA;						
Q5TP53	Q5TP53_ANOGA	Anopheles gambiae												7165.AGAP009766-PA;						
Q7Q6C9	Q7Q6C9_ANOGA	Anopheles gambiae						Q7Q6C9;	Q7Q6C9;					7165.AGAP005916-PA;						
Q5TWJ1	Q5TWJ1_ANOGA	Anopheles gambiae												7165.AGAP006867-PA;						
Q5TN88	Q5TN88_ANOGA	Anopheles gambiae						Q5TN88;	Q5TN88;											
Q7QH10	Q7QH10_ANOGA	Anopheles gambiae												7165.AGAP010982-PA;						
Q5TV67	Q5TV67_ANOGA	Anopheles gambiae												7165.AGAP000569-PA;						
C5H690	C5H690_ANOGA	Anopheles gambiae						C5H690;						7165.AGAP013188-PA;						
Q7Q4G2	Q7Q4G2_ANOGA	Anopheles gambiae						Q7Q4G2;												
Q5TMS1	Q5TMS1_ANOGA	Anopheles gambiae												7165.AGAP011954-PC;						
Q7QDI6	Q7QDI6_ANOGA	Anopheles gambiae												7165.AGAP003430-PA;						
Q6VVG7	Q6VVG7_ANOGA	Anopheles gambiae																		
Q7QGB9	Q7QGB9_ANOGA	Anopheles gambiae												7165.AGAP009399-PA;						
Q7QG58	Q7QG58_ANOGA	Anopheles gambiae						Q7QG58;												
Q7PZZ2	Q7PZZ2_ANOGA	Anopheles gambiae						Q7PZZ2;						7165.AGAP012161-PA;						
Q9NFT6	Q9NFT6_ANOGA	Anopheles gambiae						Q9NFT6;												
A4GSB2	A4GSB2_ANOGA	Anopheles gambiae																		
F5HL35	F5HL35_ANOGA	Anopheles gambiae												7165.AGAP013195-PA;						
L7RGC5	L7RGC5_ANOGA	Anopheles gambiae																		
F5HLY9	F5HLY9_ANOGA	Anopheles gambiae												7165.AGAP000847-PC;						
Q5TP56	Q5TP56_ANOGA	Anopheles gambiae												7165.AGAP009734-PA;						
Q7QKE3	Q7QKE3_ANOGA	Anopheles gambiae												7165.AGAP002284-PA;						
Q5TU49	Q5TU49_ANOGA	Anopheles gambiae																		
Q5TPV3	Q5TPV3_ANOGA	Anopheles gambiae																		
Q7PUL2	Q7PUL2_ANOGA	Anopheles gambiae												7165.AGAP001464-PB;						
Q7QJ88	Q7QJ88_ANOGA	Anopheles gambiae						Q7QJ88;						7165.AGAP007361-PA;						
Q7Q2W1	Q7Q2W1_ANOGA	Anopheles gambiae												7165.AGAP011364-PA;						
L7RNK6	L7RNK6_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
Q7QL35	Q7QL35_ANOGA	Anopheles gambiae																		
Q5PTV9	Q5PTV9_ANOGA	Anopheles gambiae																		
L7T7V9	L7T7V9_ANOGA	Anopheles gambiae																		
L7RPM6	L7RPM6_ANOGA	Anopheles gambiae																		
L7RQW1	L7RQW1_ANOGA	Anopheles gambiae																		
Q6IDZ9	Q6IDZ9_ANOGA	Anopheles gambiae						Q6IDZ9;												
Q7PXU7	Q7PXU7_ANOGA	Anopheles gambiae						Q7PXU7;						7165.AGAP001600-PA;						
Q7QJ62	Q7QJ62_ANOGA	Anopheles gambiae												7165.AGAP007311-PA;						
L7T3C1	L7T3C1_ANOGA	Anopheles gambiae																		
L7T514	L7T514_ANOGA	Anopheles gambiae																		
A7UU99	A7UU99_ANOGA	Anopheles gambiae						A7UU99;	A7UU99;					7165.AGAP006448-PD;						
A7URK1	A7URK1_ANOGA	Anopheles gambiae																		
A7UVG3	A7UVG3_ANOGA	Anopheles gambiae																		
L7T6L0	L7T6L0_ANOGA	Anopheles gambiae																		
L7RP31	L7RP31_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
L7TBG7	L7TBG7_ANOGA	Anopheles gambiae																		
A7UUY3	A7UUY3_ANOGA	Anopheles gambiae												7165.AGAP004805-PA;						
A4GSI5	A4GSI5_ANOGA	Anopheles gambiae												7165.AGAP002630-PA;						
Q6H8Z4	Q6H8Z4_ANOGA	Anopheles gambiae																		
Q8MU75	Q8MU75_ANOGA	Anopheles gambiae						Q8MU75;						7165.AGAP001600-PA;						
Q5TQV4	Q5TQV4_ANOGA	Anopheles gambiae																		
Q5TVR1	Q5TVR1_ANOGA	Anopheles gambiae												7165.AGAP010892-PA;						
A0NCB5	A0NCB5_ANOGA	Anopheles gambiae																		
A0NGG3	A0NGG3_ANOGA	Anopheles gambiae																		
Q7PEU9	Q7PEU9_ANOGA	Anopheles gambiae																		
Q7Q1B7	Q7Q1B7_ANOGA	Anopheles gambiae						Q7Q1B7;						7165.AGAP009866-PA;						
A0NC72	A0NC72_ANOGA	Anopheles gambiae						A0NC72;												
Q7QAU7	Q7QAU7_ANOGA	Anopheles gambiae						Q7QAU7;												
Q7Q5D1	Q7Q5D1_ANOGA	Anopheles gambiae						Q7Q5D1;						7165.AGAP006513-PA;						
Q7Q239	Q7Q239_ANOGA	Anopheles gambiae						Q7Q239;						7165.AGAP010806-PA;						
Q7PQG5	Q7PQG5_ANOGA	Anopheles gambiae												7165.AGAP003613-PA;						
Q7PZW9	Q7PZW9_ANOGA	Anopheles gambiae						Q7PZW9;	Q7PZW9;					7165.AGAP012126-PA;						
Q7Q2H7	Q7Q2H7_ANOGA	Anopheles gambiae						Q7Q2H7;	Q7Q2H7;					7165.AGAP010322-PA;						
Q7Q145	Q7Q145_ANOGA	Anopheles gambiae												7165.AGAP009980-PA;						
Q5TPU3	Q5TPU3_ANOGA	Anopheles gambiae																		
Q7Q599	Q7Q599_ANOGA	Anopheles gambiae																		
Q7Q357	Q7Q357_ANOGA	Anopheles gambiae												7165.AGAP011493-PA;						
Q5TQ76	Q5TQ76_ANOGA	Anopheles gambiae						Q5TQ76;												
B2G142	B2G142_ANOGA	Anopheles gambiae												7165.AGAP006747-PA;						
Q7QI68	Q7QI68_ANOGA	Anopheles gambiae												7165.AGAP005273-PA;						
Q9BH16	Q9BH16_ANOGA	Anopheles gambiae						Q9BH16;						7165.AGAP008819-PA;						
Q7QL19	Q7QL19_ANOGA	Anopheles gambiae						Q7QL19;						7165.AGAP011526-PA;						
Q7QG03	Q7QG03_ANOGA	Anopheles gambiae												7165.AGAP003751-PA;						
B2FZD1	B2FZD1_ANOGA	Anopheles gambiae												7165.AGAP011326-PA;						
Q5TVK3	Q5TVK3_ANOGA	Anopheles gambiae																		
A7UV39	A7UV39_ANOGA	Anopheles gambiae						A7UV39;	A7UV39;					7165.AGAP009753-PA;						
L7RMR5	L7RMR5_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
L7T8A5	L7T8A5_ANOGA	Anopheles gambiae																		
L7TBQ7	L7TBQ7_ANOGA	Anopheles gambiae																		
L7T8Q4	L7T8Q4_ANOGA	Anopheles gambiae												7165.AGAP007060-PA;						
Q1W3F6	Q1W3F6_ANOGA	Anopheles gambiae																		
L7T659	L7T659_ANOGA	Anopheles gambiae																		
Q7QA86	Q7QA86_ANOGA	Anopheles gambiae												7165.AGAP004371-PA;						
Q5PTV5	Q5PTV5_ANOGA	Anopheles gambiae																		
L7TBU3	L7TBU3_ANOGA	Anopheles gambiae																		
Q7Q673	Q7Q673_ANOGA	Anopheles gambiae																		
L7RPI0	L7RPI0_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
Q7PY44	Q7PY44_ANOGA	Anopheles gambiae						Q7PY44;						7165.AGAP001740-PA;						
A7URQ0	A7URQ0_ANOGA	Anopheles gambiae																		
Q5TX51	Q5TX51_ANOGA	Anopheles gambiae						Q5TX51;						7165.AGAP007717-PA;						
A7USP4	A7USP4_ANOGA	Anopheles gambiae																		
A7US41	A7US41_ANOGA	Anopheles gambiae																		
A7UUB1	A7UUB1_ANOGA	Anopheles gambiae																		
Q7QFJ9	Q7QFJ9_ANOGA	Anopheles gambiae												7165.AGAP000535-PA;						
A7USM9	A7USM9_ANOGA	Anopheles gambiae																		
A7UUH0	A7UUH0_ANOGA	Anopheles gambiae												7165.AGAP006645-PA;						
A7US05	A7US05_ANOGA	Anopheles gambiae												7165.AGAP006745-PA;						
F5HMQ8	F5HMQ8_ANOGA	Anopheles gambiae												7165.AGAP013284-PB;						
L7RST7	L7RST7_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
A0NH98	A0NH98_ANOGA	Anopheles gambiae																		
A0NGM4	A0NGM4_ANOGA	Anopheles gambiae						A0NGM4;						7165.AGAP012068-PA;						
Q7PTE3	Q7PTE3_ANOGA	Anopheles gambiae												7165.AGAP006901-PA;						
Q7PT75	Q7PT75_ANOGA	Anopheles gambiae						Q7PT75;						7165.AGAP006732-PA;						
Q7Q466	Q7Q466_ANOGA	Anopheles gambiae							Q7Q466;					7165.AGAP012476-PA;						
Q7QCA4	Q7QCA4_ANOGA	Anopheles gambiae						Q7QCA4;						7165.AGAP002527-PA;						
Q7Q6W6	Q7Q6W6_ANOGA	Anopheles gambiae						Q7Q6W6;						7165.AGAP005634-PA;						
Q7QC50	Q7QC50_ANOGA	Anopheles gambiae																		
Q7QCB4	Q7QCB4_ANOGA	Anopheles gambiae												7165.AGAP002544-PB;						
Q7Q733	Q7Q733_ANOGA	Anopheles gambiae												7165.AGAP005531-PA;						
Q7PFK4	Q7PFK4_ANOGA	Anopheles gambiae																		
Q7QB17	Q7QB17_ANOGA	Anopheles gambiae						Q7QB17;	Q7QB17;					7165.AGAP004235-PC;						
Q7Q7W5	Q7Q7W5_ANOGA	Anopheles gambiae							Q7Q7W5;					7165.AGAP004986-PA;						
L7RQB9	L7RQB9_ANOGA	Anopheles gambiae																		
Q7PMZ3	Q7PMZ3_ANOGA	Anopheles gambiae												7165.AGAP011494-PA;						
L7RNM2	L7RNM2_ANOGA	Anopheles gambiae												7165.AGAP006348-PA;						
Q7PD80	Q7PD80_ANOGA	Anopheles gambiae																		
Q7PV86	Q7PV86_ANOGA	Anopheles gambiae						Q7PV86;						7165.AGAP012251-PA;						
Q7QH57	Q7QH57_ANOGA	Anopheles gambiae												7165.AGAP004078-PA;						
L7T539	L7T539_ANOGA	Anopheles gambiae																		
A7UTV5	A7UTV5_ANOGA	Anopheles gambiae												7165.AGAP005742-PA;						
L7RS90	L7RS90_ANOGA	Anopheles gambiae												7165.AGAP006348-PA;						
Q7Q1F7	Q7Q1F7_ANOGA	Anopheles gambiae												7165.AGAP009811-PA;						
Q7PMV0	Q7PMV0_ANOGA	Anopheles gambiae							Q7PMV0;											
O61485	O61485_ANOGA	Anopheles gambiae																		
A0NDD4	A0NDD4_ANOGA	Anopheles gambiae																		
A0A0E3W287	A0A0E3W287_ANOGA	Anopheles gambiae																		
L7RM32	L7RM32_ANOGA	Anopheles gambiae																		
Q6VAV6	Q6VAV6_ANOGA	Anopheles gambiae												7165.AGAP006432-PA;						
L7RPG0	L7RPG0_ANOGA	Anopheles gambiae																		
Q7Q9L4	Q7Q9L4_ANOGA	Anopheles gambiae												7165.AGAP005169-PA;						
L7T6B4	L7T6B4_ANOGA	Anopheles gambiae																		
A0NEH8	A0NEH8_ANOGA	Anopheles gambiae																		
L7RMH4	L7RMH4_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
A7UTU8	A7UTU8_ANOGA	Anopheles gambiae												7165.AGAP005715-PA;						
O61481	O61481_ANOGA	Anopheles gambiae																		
A0NH43	A0NH43_ANOGA	Anopheles gambiae																		
L7RNW0	L7RNW0_ANOGA	Anopheles gambiae												7165.AGAP006974-PA;						
L7RI02	L7RI02_ANOGA	Anopheles gambiae																		
C0L2R6	C0L2R6_ANOGA	Anopheles gambiae																		
Q7Q0R9	Q7Q0R9_ANOGA	Anopheles gambiae						Q7Q0R9;												
Q7Q6F9	Q7Q6F9_ANOGA	Anopheles gambiae						Q7Q6F9;	Q7Q6F9;					7165.AGAP005865-PA;						
Q7PQF4	Q7PQF4_ANOGA	Anopheles gambiae												7165.AGAP003610-PA;						
L7T6B9	L7T6B9_ANOGA	Anopheles gambiae												7165.AGAP007060-PA;						
Q6IDX6	Q6IDX6_ANOGA	Anopheles gambiae						Q6IDX6;												
L7RV36	L7RV36_ANOGA	Anopheles gambiae																		
A7UTB9	A7UTB9_ANOGA	Anopheles gambiae												7165.AGAP005253-PA;						
A7USY8	A7USY8_ANOGA	Anopheles gambiae												7165.AGAP004124-PA;						
L7RND3	L7RND3_ANOGA	Anopheles gambiae												7165.AGAP006348-PA;						
Q7PQ32	Q7PQ32_ANOGA	Anopheles gambiae												7165.AGAP005143-PA;						
Q7PZ31	Q7PZ31_ANOGA	Anopheles gambiae						Q7PZ31;												
L7T5N2	L7T5N2_ANOGA	Anopheles gambiae																		
A7UTB2	A7UTB2_ANOGA	Anopheles gambiae																		
L7T6C1	L7T6C1_ANOGA	Anopheles gambiae																		
Q7PN83	Q7PN83_ANOGA	Anopheles gambiae																		
L7T5S0	L7T5S0_ANOGA	Anopheles gambiae																		
Q7Q5I1	Q7Q5I1_ANOGA	Anopheles gambiae						Q7Q5I1;						7165.AGAP006425-PA;						
Q7QJU7	Q7QJU7_ANOGA	Anopheles gambiae																		
Q76IK2	Q76IK2_ANOGA	Anopheles gambiae						Q76IK2;												
Q6VAV2	Q6VAV2_ANOGA	Anopheles gambiae																		
Q7PV74	Q7PV74_ANOGA	Anopheles gambiae						Q7PV74;												
Q7QIK0	Q7QIK0_ANOGA	Anopheles gambiae						Q7QIK0;						7165.AGAP006914-PA;						
Q7PZ42	Q7PZ42_ANOGA	Anopheles gambiae												7165.AGAP011718-PA;						
L7RR27	L7RR27_ANOGA	Anopheles gambiae																		
Q7PYK6	Q7PYK6_ANOGA	Anopheles gambiae												7165.AGAP001983-PA;						
A0A0E4C725	A0A0E4C725_ANOGA	Anopheles gambiae																		
A1EAG3	A1EAG3_ANOGA	Anopheles gambiae												7165.AGAP001376-PA;						
Q7QIJ7	Q7QIJ7_ANOGA	Anopheles gambiae												7165.AGAP006910-PA;						
L7RLE8	L7RLE8_ANOGA	Anopheles gambiae																		
C0L2E0	C0L2E0_ANOGA	Anopheles gambiae												7165.AGAP004455-PA;						
L7RN28	L7RN28_ANOGA	Anopheles gambiae																		
C0L2R4	C0L2R4_ANOGA	Anopheles gambiae																		
A7UT58	A7UT58_ANOGA	Anopheles gambiae							A7UT58;					7165.AGAP005079-PA;						
A7UTN5	A7UTN5_ANOGA	Anopheles gambiae												7165.AGAP005378-PB;						
L7TBD4	L7TBD4_ANOGA	Anopheles gambiae																		
A7UT57	A7UT57_ANOGA	Anopheles gambiae							A7UT57;											
Q7PV79	Q7PV79_ANOGA	Anopheles gambiae																		
Q7PKJ6	Q7PKJ6_ANOGA	Anopheles gambiae																		
Q7Q0S0	Q7Q0S0_ANOGA	Anopheles gambiae												7165.AGAP010192-PA;						
Q7Q2Q4	Q7Q2Q4_ANOGA	Anopheles gambiae												7165.AGAP004761-PA;						
A0A0D5W821	A0A0D5W821_ANOGA	Anopheles gambiae																		
Q8WTE4	Q8WTE4_ANOGA	Anopheles gambiae																		
Q6RBZ4	Q6RBZ4_ANOGA	Anopheles gambiae						Q6RBZ4;						7165.AGAP010517-PA;						
Q7QHM5	Q7QHM5_ANOGA	Anopheles gambiae												7165.AGAP011255-PA;						
A7UT24	A7UT24_ANOGA	Anopheles gambiae												7165.AGAP004351-PA;						
Q7Q4S9	Q7Q4S9_ANOGA	Anopheles gambiae						Q7Q4S9;						7165.AGAP000887-PA;						
Q7PR28	Q7PR28_ANOGA	Anopheles gambiae							Q7PR28;					7165.AGAP003036-PA;						
B3G3I7	B3G3I7_ANOGA	Anopheles gambiae						B3G3I7;						7165.AGAP004863-PA;						
Q7Q0X4	Q7Q0X4_ANOGA	Anopheles gambiae						Q7Q0X4;						7165.AGAP010086-PA;						
A0A0E4C721	A0A0E4C721_ANOGA	Anopheles gambiae																		
Q7QCA8	Q7QCA8_ANOGA	Anopheles gambiae						Q7QCA8;	Q7QCA8;					7165.AGAP002533-PA;						
A0NEM7	A0NEM7_ANOGA	Anopheles gambiae						A0NEM7;	A0NEM7;					7165.AGAP006089-PA;						
Q7PN71	Q7PN71_ANOGA	Anopheles gambiae																		
Q380M8	Q380M8_ANOGA	Anopheles gambiae						Q380M8;						7165.AGAP001773-PB;						
A0A0E3W292	A0A0E3W292_ANOGA	Anopheles gambiae																		
Q7PH80	Q7PH80_ANOGA	Anopheles gambiae												7165.AGAP003602-PA;						
F5HJI7	F5HJI7_ANOGA	Anopheles gambiae												7165.AGAP013275-PA;						
A0A0E4G8H0	A0A0E4G8H0_ANOGA	Anopheles gambiae																		
F5HKN8	F5HKN8_ANOGA	Anopheles gambiae												7165.AGAP002726-PB;						
Q7PQ55	Q7PQ55_ANOGA	Anopheles gambiae												7165.AGAP004520-PA;						
Q7PNB3	Q7PNB3_ANOGA	Anopheles gambiae												7165.AGAP008179-PA;						
A0NDJ4	A0NDJ4_ANOGA	Anopheles gambiae						A0NDJ4;						7165.AGAP003558-PA;						
Q7PNW0	Q7PNW0_ANOGA	Anopheles gambiae						Q7PNW0;	Q7PNW0;					7165.AGAP005562-PA;						
A0ND01	A0ND01_ANOGA	Anopheles gambiae												7165.AGAP002769-PA;						
Q7Q3B0	Q7Q3B0_ANOGA	Anopheles gambiae												7165.AGAP007791-PB;						
A0A0E4G896	A0A0E4G896_ANOGA	Anopheles gambiae																		
Q7Q889	Q7Q889_ANOGA	Anopheles gambiae																		
Q7QCP8	Q7QCP8_ANOGA	Anopheles gambiae												7165.AGAP002748-PA;						
